Brand Name	Generic Name
Orfadin 	nitisinone
Orilissa 	elagolix
Orkambi 	lumacaftor/ivacaftor
Orthovisc 	hyaluronan
Oseni 	alogliptin and pioglitazone
Osmolex ER 	amantadine
Osmolite 1 Cal 	Osmolite 1 Cal
Osmolite 1.2 Cal 	Osmolite 1.2 Cal
Osmolite 1.5 Cal 	Osmolite 1.5 Cal
Otezla Tablet 	apremilast
Otiprio 	ciprofloxacin
Otrexup Injection 	methotrexate
Oxsoralen-Ultra 	methoxsalen USP
Oxtellar XR Tablet 	oxcarbazepine
Ozempic 	semaglutide
Ozurdex Intravitreal Implant 	dexamethasone
Padcev 	enfortumab vedotin-ejfv
Palynziq 	pegvaliase-pqpz
Pamelor (capsules) 	nortriptyline
Pancreaze Delayed-Release Capsules 	pancrelipase
Panhematin Injection 	hemin
Parsabiv 	etelcalcetide
Pazeo 	olopatadine hydrochloride solution
PediaSure 	PediaSure
PediaSure 1.5 cal 	pediasure 1.5 cal
PediaSure Enteral 1.0 Cal 	PediaSure Enteral 1.0 Cal
PediaSure Enteral Formula with Fiber 	PediaSure Enteral Formula with Fiber
PediaSure Harvest 	pediasure harvest
PediaSure Peptide 1.0 cal 	PediaSure Peptide 1.0 cal
PediaSure Peptide 1.5 cal 	PediaSure Peptide 1.5 cal
PediaSure with Fiber 	PediaSure with Fiber
Peganone Tablets 	ethotoin
Pegasys 	peginterferon
Pemazyre 	pemigatinib
Pennsaid 	diclofenac sodium solution; topical
Pentacel 	Diptheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus and Haemophilus b Conjugate (Tetanus Toxoid Conjugate) Vaccine
Pentasa 	mesalamine
Peptamen 	peptamen
Peptamen 1.5 	peptamen 1.5
Peptamen Junior 	peptamen junior
Peptamen Junior 1.5 	nutritional supplement
Peptamen Junior Fiber 	peptamen junior fiber
Peptamen Junior PreBio 	peptamen junior prebio
Peptamen PreBio 	peptamen prebio
Perative 	Perative
PERJETA 	pertuzumab
Pertzye capsule 	amylase/lipase/pancrelipase/protease
PFD 	nutritional supplement
Pfizerpen 	penicillin G potassium
Phenex-1 Powder 	Phenex-1 Powder
Phenex-2 Powder 	Phenex-2 Powder
Phenyl-Free 	medical food
Phoslyra 	calcium acetate
Phospholine Iodide for Ophthalmic Solution 	echothiophate iodide
Pifeltro 	doravirine
Piqray 	alpelisib
Pivot 1.5 cal Drink 	medical drink
Plegridy Injection 	peginterferon beta1a
Plenvu 	polyethylene glycol 3350, sodium ascorbate, sodium sulfate, ascorbic acid, sodium chloride and potassium chloride
Pneumovax 23 	pneumococcal vaccine polyvalent
Polivy 	polatuzumab vedotin-piiq
Pomalyst capsule 	pomalidomide
Portagen 	nutritional supplement
Portrazza 	necitumumab
Poteligeo 	mogamulizumab-KPKC
Pradaxa Capsules 	dabigatran etexilate
Praluent 	alirocumab
Pred Forte Ophthalmic Suspension 1.0% 	prednisolone acetate
Pregestimil 	medical food
Premarin 	conjugated estrogens
Premarin vaginal cream 	conjugated estrogens
Premphase 	conjugated estrogens/medroxyprogesterone acetate tablets
Prempro 	conjugated estrogens; medroxyprogesterone acetate
Prevacid SoluTab 	lansoprazole
Prevnar 13 	pneumococcal 13-valent conjugate vaccine [Diphtheria CRM197 Protein]
Prevymis 	letermovir
Prezcobix Tablets 	darunavir/cobicistat
Prezista 	darunavir
Prialt 	ziconotide infusion
Priftin 	rifapentine tablets
Primaxin injection 	impenem-cilastatin
Pristiq 	desvenlafaxine
Privigen vial 10% 	immune globulin intravenous (human)
ProAir Hfa inhaler 	albuterol hfa
Proair Respiclick 	albuterol sulfate
Procardia 	nifedipine
Procardia XL 	nifedipine extended release
Procrit 	epoetin alfa
Procysbi 	cysteamine bitartrate delayed-release capsule
Prodigy Insulin Syringes 	Insulin Syringes
Prodigy No Coding Blood Glucose Strips 	blood glucose strips
Prodigy Preferred Blood Glucose Monitor 	blood glucose monitor
Prodigy Twist Top Lancets 28G 	lancets
ProfilNine 	faxtor ix complex
Proglycem oral suspension 	diazoxide
Prolastin C 	alpha1-proteinase inhibitor (human)
Prolensa 	bromfenac sodium solution
Prolia 	denosumab
Promacta 	eltrombopag
Promote 	Promote
Promote with Fiber 	Promote with Fiber
Propimex-1 Powder 	Propimex-1 Powder
Propimex-2 Powder 	Propimex-2 Powder
Protonix 	pantoprazole sodium
Provenge 	sipuleucel-t
Proventil HFA Inhaler 	albuterol
Provera 	medroxyprogesterone acetate
ProViMin Powder 	ProViMin Powder
Prozac 	fluoxetine HCL
Prozac Weekly 	fluoxetine HCL
Pulmicort Flexhaler 	budesonide inhalation powder
Pulmocare 	Pulmocare
Pulmozyme 	dornase alfa recombinant inhalation solution
PurAmino 	medical food
PuraPly AM Wound Dressing 	wound matrix
PuraPly Wound Dressing 	wound matrix
Pylera Capsules 	bismuth subcitrate potassuim, metronidazole, tetracycline HCI
Pyrimethamine 	pyrimethamine
Qinlock 	ripretinib tablet
QNASL Nasal Aerosol 	beclomethasone dipropionate
Qtern 	dapagliflozin and saxagliptin
Qutenza Patch 	capsaicin
Qvar 	beclomethasone dipropionate hfa
R-Gene 10 Injection 	10% arginine hydrochloride, USP
Radicava iv 	edaravone iv
Rapaflo 	silodosin
Rapamune 	sirolimus
Rasuvo injection 	methotrexate injection
Ravicti Liquid 	glycerol phenylbutyrate
Rayaldee 	calcifediol
Rayos Tablet, Extended Release 	prednisone
RCF (Ross Carbohydrate Free) 	RCF (Ross Carbohydrate Free)
Rebif subcutaneous 	interferon beta-1a
Rebinyn 	coagulation factor IX (recombinant) glycopegylated
Reblozyl 	luspatercept-aamt
Recarbrio 	imipenem cilastatin and relebactam injection
Reclast 	zolendronic acid
Recombinate rAHF 	recominant
Recombivax Hb 	Hepatitis B vaccine (recombinant)
Rectiv ointment 	nitroglycerin
Relenza 	zanamivir for inhalation
Relistor injection 	methylnaltrexone bromide
Relistor tablets 	methylnaltrexone bromide
Relizorb 	immobilized lipase cartridge
Relpax 	eletriptan HBr
Remicade 	infliximab
Remodulin injection 	treprostinil
Renflexis 	infliximab-ABDA
Renova 	tretinoin cream
Repatha 	evolocumab
Restasis 	cyclosporine
Restoril 	temazepam
Retacrit 	epoetin alfa-epbx
Retevmo 	selpercatinib
Retin-A Cream 	tretinoin
Retin-A Gel 	tretinoin
Retin-A Micro 	tretinoin
Retisert 	fluocinolone acetonide intravitreal implant
Retrovir 	zidovudine
Revatio 	sildenafil citrate tablet
Revlimid 	lenalidomide
Rexulti tablet 	brexpiprazole tablet
Reyvow 	lasmiditan
RiaSTAP 	fibrinogen concentrate (human)
Ridaura 	auranofin
Rinvoq 	upadacitinib tablet
Risperdal Consta 	risperidone
Rituxan 	rituximab
Rituxan Hycela 	rituximab/hyaluronidase human
Rixubis 	coagulation factor IX (recombinant)
Rozerem 	ramelteon
Rozlytrek 	entrectinib
Rubraca 	rucaparib
Ruconest 	C1esterase inhibitor (recombinant)
Rukobia 	fostemsavir
Ruxience 	rituximab-pvvr
Rydapt 	midostaurin capsule
Rytary Capsule; Extended Release 	carbidopa/levodopa
Rythmol SR 	propafenone hydrochloride
Sabril Powder for Oral Solution 	vigabatrin
Sabril tablet 	vigabatrin
Safyral 	drospirenone/ethinyl estradiol/levomefolate calcium
Samsca Tablets 15mg, 30mg 	tolvaptan
Sancuso 	Granisetron Transdermal System
Sandimmune 	cyclosporine
Sandostatin LAR Depot 	octreotide acetate
Saphris sublingual tablets 	asenapine maleate
Sarclisa 	isatuximab-irfc
Savella 	milnacipran HCl tablets
Secuado 	asenapine transdermal system
Selzentry 	maraviroc
Sensipar 	cinacalcet HCl
Serevent Diskus (Inhalation Powder) 	salmeterol xinafoate
Serostim 	somatropin
Shingrix 	Zoster Vaccine Recombinant, Adjuvanted
Siliq 	brodalumab
Silsoft Contact Lenses 	Silsoft Contact Lenses
Simbrinza 	brinzolamide/brimonidine tartrate suspension
Similac PM 60/40 	baby formula
Simponi 	golimumab
Simponi ARIA Injection 	golimumab
Singulair 4mg Oral Granules 	montelukast sodium
Sirturo Tablets 	bedaquiline
Sivextro Tablet 	tedixolid phosphate
Skelaxin 	metaxalone
Skyla 	levonorgestrel-releasing intrauterine system
Skyrizi 	risankizumab-rzaa injectable
Soliqua 	insulin glargine
Soliris 	eculizumab
Solodyn 	minocycline HCI
Solosec 	secnidazole
Somatuline Depot Injection 	lanreotide acetate
Somavert 	pegvisomant
Sonata 	zaleplon
Soriatane Capsules 	acitretin
Sovaldi Tablet 	sofosbuvir
Spinraza 	nusinersen injection
Spiriva HandiHaler 	tiotropium bromide inhalation powder
Spiriva Respimat Spray 	tiotropium bromide
Sporanox Casules 	itraconazole
Sporanox Oral Solution 	itraconazole
Spravato Nasal Spray CIII 	esketamine
Sprycel 	dasatinib
Stelara 	ustekinumab
Stimate 	desmopressin acetate
Stiolto Respimat 	tiotropium bromide and olodaterol
Stivarga 	regorafenib
Strattera 	atomoxetine hcl
Strensiq injection 	asfotase alfa injection
Stribild tablet 	elvitegravir/cobicistat/emtricitabine/tenofovir disoproxil fumarate
Striverdi Respimat Spray 	olodaterol
Stromectol 	Ivermectin
Suboxone Sublingual Film 	buprenorphine and naloxone
Sucraid Oral Solution 	sacrosidase
Sunosi 	solriamfetol tablet
Supartz 	sodium hyaluronate
Suplena 	suplena
Supprelin LA 	histrelin acetate; subcutaneous implant
Sustol 	granisetron injection; extended release
Sutent 	sunitinib malate
Sylvant 	siltuximab
Symbicort 	budesonide/formoterol fumarate dihydrate
Symbyax 	olanzapine and fluoxetine hcl
Symdeko tablet 	tezacaftor/ivacaftor
Symlin 	pramlintide acetate
Symmetrel 	amantadine
Symtuza 	darunavir, cobicistat, emtricitabine, and tenofovir alafenamide
Synagis 	palivizumab
Synarel 	nafarelin acetate
Synjardy 	empagliflozin/metformin hydrochloride
Synjardy XR 	empagliflozin/metformin HCl Extended Release
Synribo 	omacetaxine mepesuccinate
Synthroid Tablets 	levothyroxine sodium tablets, USP
Synvisc 	hyaluronic acid derivatives
Synvisc-One Injection 	hylan G-F 20
Syprine capsules 	trientine hcl
Tabrecta 	capmatinib
Tafinlar 	dabrafenib
Tagrisso 	osimertinib
Takhzyro injection 	lanadelumab injection
Taltz 	ixekizumab
Talzenna 	talazoparib
Tarceva 	erlotinib
Targretin 	bexarotene
Targretin Gel 1% 	bexarotene
Tasigna 	nilotinib
Tasmar tablets 	talcapone
Tavalisse 	fostamatinib disodium hexahydrate
Tazverik 	tazemetostat tablet
Tecartus 	brexucabtagene autoleucel
Tecentriq 	atezolizumab
Tecfidera Capsule; Delayed Release 	dimethyl fumarate
Teflaro 	ceftaroline
Tegretol 	carbamazepine
Tegretol XR 	carbamazepine extended release
Tenivac 	tetanus and diptheria toxoids absorbed
Tepezza 	teprotumumab-trbw
Tessalon Capsule 	benzonatate
Tetrix Cream 	tetrix
Thalomid 	thalidomide
Thiola 	tiopromin tablet
Thiola EC 	tiopronin tablet; delayed release
Thymoglobulin Vial 	Anti-thymocyte Globulin (Rabbit)
Thyrogen injection 	thyrotropin alfa
Tibsovo 	ivosidenib tablet
Timoptic in Occudose 	timolol maleate opthalmic solution (.5%,.25%)
Tivicay tablet 	dolutegravir
TNKase 	tenecteplase
Tobradex ointment 	steriod and antibiotic ointment
Tolerex 	tolerex
Torisel 	temsirolimus
Toujeo 	insulin glargine (rDNA origin) injection
Toviaz 	fesoterodine fumarate
Tracleer tablets 	bosentan
Tradjenta 	linagliptin
Tranxene 	clorazepate dipotassium
Travatan Z 	travoprost solution
Trazimera 	trastuzumab-qyyp
Treanda 	bendamustine hcl
Trecator Tablets 	ethionamide
Trelegy Ellipta 	fluticasone furoate, umeclidinium
Tremfya 	guselkumab
Tresiba 	insulin degludec injection
Tretten Injection 	coagulation factor Xlll A-Subunit (rDNA)
Triesence 	triamcinolone acetonide injectable suspension
Trikafta tablet 	elexacaftor/tezacaftor/ivacaftor
Trileptal 	oxcarbazepine
Trintellix 	vortioxetine
Trisenox 	arsenic trioxide
Triumeq 	abacavir/dolutegravir/lamivudine
Trizivir (Tablets) 	abacavir sulfate, lamivudine, and zidovudine)
Trodelvy injection 	sacituzumab govitecan-hziy injection
Trogarzo 	ibalizumab-uiyk injection
Trokendi XR Capsule 	topiramate
Trulance 	plecanatide
Trulicity 	dulaglutide
Trumenba 	Meningococcal Group B Vaccine
Trusopt 	dorzolamide HCL
Truvada 	tenofovir disoproxil / emtricitabine
Truxima 	rituximab-abbs
Tukysa 	tucatinib tablets
Turalio capsule 	pexidartinib
TwoCal 	TwoCal HN
Tybost 	cobicistat
Tygacil 	tigecycline
Tykerb 	lapatinib tablets
Tymlos 	abaloparatide
Tyrex-1 Powder 	Tyrex-1 Powder
Tyrex-2 Powder 	Tyrex-2 Powder
TYROS 	medical food
Tysabri Vial 	natalizumab
Tyvaso inhalation solution 	treprostinil
Ubrelvy 	ubrogepant
Uceris rectal foam 	budesonide
Udenyca 	pegfilgrastim-cbqv
Ultomiris 	ravulizumab-cwvz injection; iv
Uplizna 	inebilizumab-cdon
Uptravi 	selexipag
Vagifem 	estradiol hemihydrate
Valcyte 	valganciclovir
Valtoco 	diazepam nasal spray
Vaqta 	Hepatitis A vaccine, inactivated
Varivax 	Varicella Virus vaccine live
Varizig 	varicella zoster immune globulin (human)
Varubi tablet 	rolapitant tablet
Vectibix 	panitumumab
Vectra DA 	blood test
Velcade 	bortezomib
Veletri Injection 	epoprostenol
Velphoro Chewable Tablets 	sucroferric oxyhydroxide
Veltassa 	patiromer
Vemlidy 	tenofovir alafenamide
Venclexta 	venetoclax
Ventavis 	iloprost
Ventolin HFA 	albuterol sulfate HFA inhalation aerosol
Verzenio 	abemaciclib
Vfend 	voriconazole
Viagra 	sildenefil citrate
Viberzi 	eluxadoline
Victoza injection 	liraglutide (rDNA) injection
Vidaza 	azacitidine
Vigamox 	moxifloxacin hydrochloride solution
Viibryd tablets 	vilazodone
Vimizim 	elosulfase alfa
Vimovo 	naproxen and esomeprazole magnesium
Vimpat tablets 	lacosamide
Viracept 	nelfinavir mesylate
Viramune XR 	nevirapine
Vistaril 	hydroxyzine pamoate
Vistogard 	uridine triacetate
Visudyne 	verteporfin for injection
Vital 1.0 	Vital 1.0
Vital 1.5 	Vital 1.5
Vital AF 1.2 cal 	Vital AF 1.2 cal
Vital High Protein 	vital high protein
Vital Peptide 1.5 Cal 	vital peptide 1.5 cal
Vitrakvi 	larotrectinib
Vivonex Pediatric 	vivonex pediatric
Vivonex Plus 	vivonex plus
Vivonex RTF 	vivonex RTF
Vivonex T.E.N. 	vivonex T.E.N.
Vivotif capsule 	typhoid vaccine live oral Ty21a capsule
Vizimpro 	dacomitinib
Vonvendi 	von Willebrand factor complex human
Vosevi 	sofosbuvir, velpatasvir, and voxilaprevir
Votrient 	pazopanib
VPRIV Injection 	velaglucerase alfa
Vraylar 	cariprazine
Vumerity 	diroximel fumarate
Vyepti 	eptinezumab-jjmr injection
Vyndamax 	tafamidis
Vyndaqel 	tafamidis meglumine
Vyondys 53 	golodirsen injection
Vytorin 	ezetimibe/simvastatin
Vyvanse 	lisdexamfetamine dimesylate capsules
Vyxeos 	daunorubicin/cytarabine
Vyzulta 	latanoprostene bunod ophthalmic solution
WINRHO SDF 	winrho sdf
WND 	medical food
Xalatan 	latanoprost solution
Xalkori 	crizotinib
Xanax 	alprazolam
Xarelto 	rivaroxaban tablets
Xcopri 	cenobamate tablets
Xeljanz tablet 	tofacitinib citrate
Xeljanz XR 	tofacitnib
Xeloda 	capecitabine
Xembify 	immune globulin subcutaneous human-klhw
XEN Sterile Injector 	XEN sterile injector
Xenazine Tablets 	tetrabenazine
Xeomin Injection 	incobotulinumtoxinA
Xermelo 	telotristat ethyl
XGEVA 	denosumab
Xiaflex Injection 	collagenase clostridium histolyticum
Xifaxan 	rifaximin
Xigduo XR 	dapagliflozin/metformin
Xiidra 	lifitegrast ophthalmic solution)
Xofigo injection 	radium Ra 223 dichloride
Xolair 	omalizumab
Xospata 	gilteritinib
Xpansion 	medical device
Xtandi 	enzalutamide
Xultophy 	insulin degludec/liraglutide
Xyntha 	antihemophiliam factor (recombinant)
Xyrem 	gammahydroxybutyrate
Yasmin 	drospirenone/ethinyl estradiol tablets
Yaz 	drospirenone & ethinyl estradiol
Yervoy 	ipilimumab
Yescarta 	axicabtagene ciloleucel
Yondelis 	trabectedin
Yonsa 	abiraterone acetate
Zaltrap 	ziv-afilibercep
Zarontin 	ethosuximide
Zarxio 	filgrastim-sndz
Zejula 	niraparib
Zelapar 	selegiline HCI
Zelboraf 	vemurafenib
Zemaira 	Alpha1-Proteinase Inhibitor (Human)
Zepatier 	elbasvir/grazoprevir
Zeposia 	ozanimod capsule
Zepzelca 	lurbinectedin injection
Zerbaxa Injection 	ceftolozane/tazobactam
Zetia 	ezetimibe
Zevalin 	ibritumomab tiuxetan
Ziagen 	abacavir sulfate
Ziextenzo 	pegfilgrastim-bmez
Zilretta 	triamcinolone acetonide extended release
Zinecard 	dextrazoxane
Zinplava 	bezlotoxumab
Zirabev 	bevacizumab-bvzr
Zirgan 	ganciclovir ophthalmic gel
Zithromax 	azithromycin
Zmax 	azithromycin extended release
Zoladex 	goserelin acetate
Zolinza 	vorinostat
Zoloft 	sertraline HCI
Zomacton 	somatropin (rDNA origin) injection
Zomig (nasal spray) 	zolmitriptan
Zonegran 	zonisamide
Zortress 	everolimus
Zostavax 	Zoster vaccine live
Zubsolv Tablet; Sublingual 	buprenorphine/naloxone
Zulresso 	brexanolone injection
Zyclara 	imiquimod
Zydelig Tablet 	idelalisib
Zyflo 	zileuton
Zykadia 	ceritinib
Zylet 	loteprednol etabonate and tobramycin ophthalmic suspension
Zyprexa 	olanzapine
Zyprexa Relprevv 	olanzapine
Zyprexa Zydis 	olanzapine
Zytiga tablets 	abiraterone acetate
Zyvox 	linezolid
